Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c622fa21699855eac00c2defc9d8638fce640cde395e07da4329f5a9fd6a2b26,2014-06,Northumbria Police,Northumbria Police,-1.399645,54.902325,On or near CHESTER ROAD,E01008830,Sunderland 018B,Offender given community sentence
bcb63dffd97c0b3d160eb4da24485ecd6452ee7a122515de1df1b18e788a0834,2014-06,Northumbria Police,Northumbria Police,-1.512453,55.126991,On or near Parking Area,E01027415,Northumberland 023B,Court case unable to proceed
6b5e123d47db98e4f01507caa81a571f5c5401cc02f02097dd84e91f4354783d,2014-06,Northumbria Police,Northumbria Police,-1.397770,54.907779,On or near MILLBURN STREET,E01008705,Sunderland 013C,Offender sent to prison
b1135a39512144004d77b8fe33991c0d678bfea1a87fc7c74e1782b4b923db37,2014-06,Northumbria Police,Northumbria Police,-1.494268,54.840470,On or near THE FOLDS,E01008750,Sunderland 033A,Offender fined
bcbc85d0c6756d3db0f500b3c5c05a980d66d4eaed3d9744e9c51679f94e0bab,2014-06,Northumbria Police,Northumbria Police,-1.622448,54.978598,On or near Park/Open Space,E01008395,Newcastle upon Tyne 024B,Defendant found not guilty
b8de763e0a767d42bc3c4762db1099717c21367872b60724996ea6dcdc4fd5c1,2014-06,Northumbria Police,Northumbria Police,-1.604782,54.960632,On or near Parking Area,E01008168,Gateshead 027D,Offender fined
9b452ab163cdb59725e915881f151856e5f02908579993952b4ecb246386a45e,2014-06,Northumbria Police,Northumbria Police,-1.562126,54.932395,On or near AYCLIFFE CRESCENT,E01008227,Gateshead 021E,Defendant found not guilty
dad0c10f2c793bea936c0fa636dd04bf0e9fc661c2bf39e4f82fd04b648a5674,2014-06,Northumbria Police,Northumbria Police,-1.411045,54.902300,On or near KAYLL ROAD,E01008759,Sunderland 015C,Offender fined
9900d176d63b5502b6fd48774e62d54fe155ecc068eb80e11ada2b768b306216,2014-06,Northumbria Police,Northumbria Police,-1.572927,55.138361,On or near Petrol Station,E01027517,Northumberland 020B,Offender fined
fd815b80ed885a7841ef5a122c8dad1838c1c07b8a3a6ade5ac19f80719f76f7,2014-06,Northumbria Police,Northumbria Police,-1.611154,54.975165,On or near LISLE STREET,E01008397,Newcastle upon Tyne 024C,Defendant sent to Crown Court
a71269dfee01a4e55205ff8f6a0e41542bfae5ac5a16b5d1c20a92428b30a081,2014-06,Northumbria Police,Northumbria Police,-1.363882,54.878859,On or near TWEED CLOSE,E01008779,Sunderland 024C,Offender given suspended prison sentence
307ed6c909a82da5c07a5931f99efecc54d6873232df5b1b9459c4f362e68b6a,2014-06,Northumbria Police,Northumbria Police,-1.614445,54.974044,On or near BLACKETT STREET,E01008397,Newcastle upon Tyne 024C,Offender given absolute discharge
bce7a66ec1fe7fc89c9c887f936667dfda67b30cdd68bb525382314b36f6117c,2014-06,Northumbria Police,Northumbria Police,-1.576786,54.955622,On or near PENSHER STREET EAST,E01008214,Gateshead 003A,Defendant found not guilty
955770936a258834f500c61ade5251c16b4612fc0ed6a44ee5765b6911e1cdb1,2014-06,Northumbria Police,Northumbria Police,-2.101011,54.972913,On or near CECIL TERRACE,E01027476,Northumberland 035A,Offender fined
c303758d25404eb47da334ce61a29b997616c77f5aa87d2607068e6c83a2b87e,2014-06,Northumbria Police,Northumbria Police,-1.423868,54.992674,On or near MOZART STREET,E01008595,South Tyneside 001A,Offender sent to prison
b4a51014522086491608a1dd0ab38e35cb17788c32baf1ec411efbcad92f259a,2014-06,Northumbria Police,Northumbria Police,-1.439660,54.915834,On or near OSWALD TERRACE SOUTH,E01008693,Sunderland 008A,Offender fined
19cd63f749c1e4d75bbf00b1e1bf54fab579a9f43a10a895a79773f65c7f8904,2014-06,Northumbria Police,Northumbria Police,-1.608320,54.954892,On or near SEDGEWICK PLACE,E01008169,Gateshead 008B,Offender given conditional discharge
4a36388771ee9278a843131003ac58276d46d4101672d368f920ffc55d29f4ba,2014-06,Northumbria Police,Northumbria Police,-1.548435,54.974580,On or near INGRAM TERRACE,E01008429,Newcastle upon Tyne 028D,Court case unable to proceed
0762498dfb5fca48137febef4b28fe258b4b8815dcb5d7227b7854fe50a61256,2014-06,Northumbria Police,Northumbria Police,-1.677556,54.962779,On or near RIVERSIDE WAY,E01008262,Gateshead 009A,Offender fined
92cdc78ab02f59ed5c39d9c776aec0f1defcdadd4a041fc2afa0109a394a7b7b,2014-06,Northumbria Police,Northumbria Police,-1.470174,54.844510,On or near HILLSIDE WAY,E01008754,Sunderland 034F,Offender given conditional discharge
cd81da868b09a00f75c427530d96b0c6b3be85ff79e89d1d886c5ef1e5c93aa1,2014-06,Northumbria Police,Northumbria Police,-1.488555,54.980634,On or near Shopping Area,E01008600,South Tyneside 007A,Offender given conditional discharge
4d7b3da9c17bdf3c0da94793ab668f0d97cc1fcd84d91653079b21f9fc694ed7,2014-06,Northumbria Police,Northumbria Police,-1.452560,55.003258,On or near PENMAN STREET,E01008544,North Tyneside 027D,Offender fined
97750c6cd4cc6e408a88815c37862a2b169c0c081eb3e6142686563607c42def,2014-06,Northumbria Police,Northumbria Police,-1.557960,54.973636,On or near LOWTHIAN CRESCENT,E01008426,Newcastle upon Tyne 028C,Defendant found not guilty
e4c2842b314bd8317d7c78bc6d3dabbe554488fae9761d8ec705223ca683c76c,2014-06,Northumbria Police,Northumbria Police,-1.509079,55.036298,On or near FORD CRESCENT,E01008567,North Tyneside 007D,Court case unable to proceed
ea85d8451a67636e39050925be7cc450d9aec5c7c7d8f7ddcd17022882062abb,2014-06,Northumbria Police,Northumbria Police,-1.436673,54.954389,On or near BOLDON LANE,E01008606,South Tyneside 016C,Court case unable to proceed
3a00c6abb401898de8549fa55d8420225532263ab74871ad96b0740f635114d6,2014-06,Northumbria Police,Northumbria Police,-1.574085,54.979211,On or near MILLERS ROAD,E01008392,Newcastle upon Tyne 026F,Defendant found not guilty
169d73d09ccc4558e284ec53593ed033b9c648077790cb760cf5f1fee0043dd1,2014-06,Northumbria Police,Northumbria Police,-1.402909,54.872452,On or near SILKSWORTH TERRACE,E01008805,Sunderland 027C,Offender given community sentence
49f443685a7363bfd946fc84d65e7427b821c8296b62caef054063a3d1859881,2014-06,Northumbria Police,Northumbria Police,-1.560156,55.178510,On or near HAWTHORN ROAD,E01027546,Northumberland 010E,Offender sent to prison
902f7c82246a2365f09fe5604db754d8e21d8b571a0a6a793b412f59aea81553,2014-06,Northumbria Police,Northumbria Police,-1.626590,55.005434,On or near BROOMFIELD ROAD,E01008419,Newcastle upon Tyne 006E,Offender sent to prison
a07039d1c87498986836ac3c75e47a3f7df64236de00af4ff252cece0f743ead,2014-06,Northumbria Police,Northumbria Police,-1.439622,54.990465,On or near TRINITY WALK,E01008666,South Tyneside 002C,Offender given suspended prison sentence
049de6427fb4c991512db7fc82e2c24cb7ba191ac98ce31f093d74251aa3c0d3,2014-06,Northumbria Police,Northumbria Police,-1.602496,54.962754,On or near Parking Area,E01008166,Gateshead 027C,Offender fined
20e0b4772b01e69ad9795ce78946f84c4919bff78729b5c55f5f7c7f2948bc5a,2014-06,Northumbria Police,Northumbria Police,-1.394941,54.909239,On or near TRIMDON STREET,E01008700,Sunderland 013A,Court case unable to proceed
d909852bca22c875526f9bf4e58b00ce29d8a7fc3dee7d3802cc78efdd0f61dc,2014-06,Northumbria Police,Northumbria Police,-1.601369,54.991480,On or near QUEEN'S TERRACE,E01008368,Newcastle upon Tyne 017B,Court case unable to proceed
b87b63c5a865627ec10ee97b40a95cc37378650e41894dedd6e1b732031fb20f,2014-06,Northumbria Police,Northumbria Police,-1.511853,54.997300,On or near ASHBROOKE GARDENS,E01008571,North Tyneside 028D,Offender given suspended prison sentence
a07039d1c87498986836ac3c75e47a3f7df64236de00af4ff252cece0f743ead,2014-06,Northumbria Police,Northumbria Police,-1.439622,54.990465,On or near TRINITY WALK,E01008666,South Tyneside 002C,Offender given suspended prison sentence
cd6de328f750a79bf4ecc8f41e2d745a1ade47af33a7c855a02ddc45d8d58ae4,2014-06,Northumbria Police,Northumbria Police,-1.487865,55.025023,On or near NEW YORK ROAD,E01008552,North Tyneside 009A,Offender given conditional discharge
265214dace433f41192d0407acd6c68d0efebfde3a368b434ef6667f8bda7ce1,2014-06,Northumbria Police,Northumbria Police,-1.447441,55.042433,On or near Supermarket,E01008585,North Tyneside 006B,Offender given conditional discharge
4c1390e9b35d7e71774be019751d5528dee91e099a37ac8a3918b79cb2972dbf,2014-06,Northumbria Police,Northumbria Police,-1.441009,54.947975,On or near KEATS AVENUE,E01008614,South Tyneside 023A,Defendant found not guilty
ed5e54cc35f5454b226f8f1169a200332d18ac7215d684fc00537c9051beb89b,2014-06,Northumbria Police,Northumbria Police,-1.708449,55.414650,On or near NARROWGATE,E01027359,Northumberland 005B,Court case unable to proceed
f1b890da361e369ed4c3bbaa4be243c15cee286586ea8778fcc3dcddf699440d,2014-06,Northumbria Police,Northumbria Police,-1.394941,54.909239,On or near TRIMDON STREET,E01008700,Sunderland 013A,Court case unable to proceed
2fa531308bc3ec3266a2d6fad7ae6ee61030c3ddaee985b122a8cb714b38d72f,2014-06,Northumbria Police,Northumbria Police,-1.564762,55.140569,On or near ST JOHN'S ROAD,E01027551,Northumberland 020F,Defendant found not guilty
04289b3f2c64684b9dc27b1723758e69e036044839197b8a00976b9c80deaa57,2014-06,Northumbria Police,Northumbria Police,-1.519707,54.974462,On or near STATION ROAD,E01008641,South Tyneside 010C,Defendant found not guilty
71f5bce0a982858ce0f3ed8c667ce0f3a796dd5d11f77230ad91720259c706ea,2014-06,Northumbria Police,Northumbria Police,-1.385079,54.904436,On or near MARITIME STREET,E01008703,Sunderland 013B,Offender given conditional discharge
ba94df8f7f9d339bda6e166e3740101148d8c56621a6aa609b7fdd6e35f46f15,2014-06,Northumbria Police,Northumbria Police,-1.602496,54.962754,On or near Parking Area,E01008166,Gateshead 027C,Defendant found not guilty
f02ff58c5cbb3dd9ec9baee581ad887e755fcf4885fa998bd96d1d84b29fa145,2014-06,Northumbria Police,Northumbria Police,-1.663845,54.955103,On or near Parking Area,E01008262,Gateshead 009A,Offender given community sentence
3a00c6abb401898de8549fa55d8420225532263ab74871ad96b0740f635114d6,2014-06,Northumbria Police,Northumbria Police,-1.574085,54.979211,On or near MILLERS ROAD,E01008392,Newcastle upon Tyne 026F,Defendant found not guilty
880e9b2dbdec28a9f6a4e610de180e2c83daf231d574531687399cbdcd66470f,2014-06,Northumbria Police,Northumbria Police,-1.595902,54.952219,On or near WOODS TERRACE,E01008163,Gateshead 028A,Offender given conditional discharge
e3c3d2dfcb569265064a4b1c1c154c0e4407b5ce82b729d57a29de6ad58dd81c,2014-06,Northumbria Police,Northumbria Police,-1.527846,55.073009,On or near BLYTH STREET,E01027432,Northumberland 032A,Offender given absolute discharge
fc6c34b14982fa7f03d074e8013d0b0ebef3c9e6bfd16d59af19104d56d15755,2014-06,Northumbria Police,Northumbria Police,-1.611154,54.975165,On or near LISLE STREET,E01008397,Newcastle upon Tyne 024C,Offender given community sentence
e317d6eba9ec38ee7cb6a035b4d404691d04f040a347a00240d191aa43bb986a,2014-06,Northumbria Police,Northumbria Police,-1.581552,55.081500,On or near ALLERHOPE,E01027411,Northumberland 029C,Offender given suspended prison sentence
6c8d0b5e5e39fb5a0c29b4c0132a278ed4565a460e1be875fa22e0104fdce578,2014-06,Northumbria Police,Northumbria Police,-1.694907,54.995785,On or near FRANKHAM STREET,E01008324,Newcastle upon Tyne 015A,Defendant found not guilty
1a47bba6137445f744dab185d6272b4b48637f475b316dfc92c35d9da971bfe5,2014-06,Northumbria Police,Northumbria Police,-1.617134,54.972264,On or near NEWGATE STREET,E01033543,Newcastle upon Tyne 024G,Offender sent to prison
